,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
176,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,210772,74,0.653,0.194,0.809,0.0,0.165,-4.057,0.0474,92.213,0.55
177,Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,178480,79,0.674,0.296,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,0.234
178,Someone Like You,21,Adele,2011-01-24,285240,84,0.556,0.893,0.319,0.0,0.0996,-8.251,0.0281,135.187,0.294
179,Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,80,0.773,0.0422,0.758,0.0,0.305,-4.993,0.0381,144.033,0.925
180,How Do You Sleep?,How Do You Sleep?,Sam Smith,2019-07-19,202204,77,0.477,0.153,0.682,0.0,0.0763,-4.931,0.0925,110.567,0.345
181,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,81,0.778,0.346,0.547,0.000302,0.132,-7.273,0.0489,95.002,0.441
182,Because of You,Greatest Hits - Chapter One,Kelly Clarkson,2012-11-16,220373,57,0.583,0.243,0.58,0.0,0.198,-5.395,0.0319,139.82,0.119
183,Dancing On My Own,Only Human (Deluxe),Calum Scott,2018-03-09,260285,82,0.681,0.837,0.174,3.35e-05,0.0983,-8.745,0.0315,112.672,0.231
184,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,77,0.56,0.555,0.68,0.0,0.116,-7.648,0.321,89.391,0.319
185,"I'll Be There for You - Theme From ""Friends""",L.P.,The Rembrandts,1995-05-02,188359,67,0.32,0.0717,0.917,0.0,0.169,-5.903,0.0771,190.757,0.715
186,How Will I Know,Whitney Houston,Whitney Houston,1985-02-14,275533,71,0.832,0.201,0.544,0.000139,0.632,-12.697,0.0442,119.49,0.928
187,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,180480,76,0.66,0.11,0.867,0.0,0.0368,-4.285,0.116,93.033,0.377
188,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,78,0.741,0.45,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,0.347
189,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,237546,73,0.669,0.0106,0.832,0.0,0.0968,-5.721,0.0682,113.035,0.7
190,Bad Day,Daniel Powter,Daniel Powter,2005-02-22,233640,75,0.599,0.448,0.785,0.00336,0.151,-4.013,0.0309,140.046,0.52
191,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
192,Dancing in the Moonlight,Onka's Big Moka,Toploader,2000-05-30,232693,53,0.632,0.0568,0.856,0.0,0.35,-3.453,0.0358,119.404,0.843
193,Chasing Pavements,19,Adele,2008-01-28,210506,2,0.614,0.291,0.47,0.0,0.111,-6.09,0.0255,80.045,0.329
194,This Love,Songs About Jane,Maroon 5,2002-06-25,206200,0,0.714,0.0551,0.868,0.0,0.0987,-4.596,0.0363,95.05,0.78
195,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.422,0.922,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331
196,Hey There Delilah - Bonus Track,Every Second Counts,Plain White T's,2006,233280,60,0.522,0.831,0.453,1.21e-06,0.101,-7.859,0.0295,103.879,0.306
197,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,18,0.623,0.0162,0.734,1.75e-06,0.145,-5.948,0.107,107.853,0.37
198,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,84,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201
199,I'm Still Standing,Too Low For Zero,Elton John,1983-05-30,183440,81,0.504,0.356,0.904,0.121,0.14,-6.863,0.179,176.808,0.772
