,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Big Business,"The Complete Score From ""The Catherine Wheel""",David Byrne,1981-12-09,306200,14,0.669,0.116,0.669,0.747,0.621,0.707,-12.238,0.047,135.861,4
38,Lovelee Dae - Original,Lovelee Dae,Blaze,2011-04-04,456533,43,0.733,0.000506,0.733,0.634,0.798,0.0848,-9.395,0.0394,124.144,4
39,Sidi Mansour (Moving Still Edit),Sidi Mansour (Moving Still Edit),Cheba Yamina,2019-09-02,273000,28,0.727,0.000457,0.727,0.624,0.791,0.0803,-9.477,0.0459,120.042,4
40,Incapable - Extended Mix,Narcissus,Róisín Murphy,2019-11-08,505862,11,0.808,0.0229,0.808,0.471,0.00506,0.0612,-9.824,0.079,113.999,4
41,Blue Sunrise,Patchwork (Compiled by Sassy J),Sassy J,2019-12-13,318610,0,0.547,0.0648,0.547,0.617,0.792,0.062,-13.664,0.0359,105.01,4
42,Tank! - Luke Vibert Remix,COWBOY BEBOP Remixes Music for Freelance,Various Artists,1999-06-02,217066,25,0.691,0.0239,0.691,0.89,0.896,0.505,-4.728,0.0573,138.397,4
43,Today (feat. Sui Zhen) - I:Cube Mix,Lonely Planet Remixes,Tornado Wallace,2018-03-16,386796,12,0.772,0.341,0.772,0.655,0.754,0.0634,-8.582,0.0501,119.003,4
44,Paranoia,Welcome to Paradise (Italian Dream House 89-93) Vol. 1 & 2,Young Marco,2017-03-24,317534,16,0.746,0.0388,0.746,0.806,0.759,0.169,-7.457,0.0447,116.013,4
45,More Sugar,More Sugar,Physical Therapy,2017-05-09,338344,0,0.477,0.00856,0.477,0.585,0.185,0.0832,-12.636,0.0568,167.868,5
46,Make Time,Make Time,Shanti Celeste,2017-05-26,515754,30,0.804,0.318,0.804,0.679,0.931,0.102,-10.486,0.062,135.057,4
47,Fluenka Spoke,Dekmantel 10 Years 02,Various Artists,2017-04-14,540204,5,0.617,0.00188,0.617,0.928,0.369,0.0947,-8.631,0.0388,124.004,4
48,Lubricate Your Living-Room,Lubricate Your Living-Room,The Bionaut,2001-06-26,201506,0,0.716,0.0614,0.716,0.674,0.896,0.118,-15.568,0.0527,120.025,4
49,The Meaning of Love,Late Night Tales: BADBADNOTGOOD,BADBADNOTGOOD,2017-07-28,180293,0,0.404,0.595,0.404,0.34,0.637,0.0974,-15.869,0.0339,106.723,4
