,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
60,Missa L'homme arme: Agnus Dei,"Josquin: Missa L'Homme Arme / Ave Maria / Absalon, Fili Mi",Josquin des Prez,1998-03-26,555800,6,0.0879,0.99,0.0607,0.0198,0.0837,-26.563,0.0511,51.331,0.0361
61,Zoetrope,In A Beautiful Place Out In The Country,Boards of Canada,2000-11-27,318880,33,0.801,0.971,0.649,0.81,0.0886,-16.399,0.0636,160.045,0.228
62,Octet,Octet - Music For A Large Ensemble - Violin Phase,Steve Reich,1980-09-01,1059306,13,0.509,0.953,0.509,0.895,0.302,-12.939,0.039,100.627,0.774
63,"Dixit Dominus, HWV 232: Die Torrente in via bibet",Vivaldi: Gloria / Handel: Dixit Dominus,The Monteverdi Choir,2001-08-31,255693,40,0.126,0.975,0.018,0.281,0.246,-29.758,0.0461,70.483,0.0338
64,Sept,511593,Electric Indigo,2018-03-16,380566,3,0.784,0.00719,0.619,0.906,0.602,-12.573,0.0566,130.975,0.262
65,Arcadiana: VI. O Albion,The Twenty-Fifth Hour: The Chamber Music of Thomas Adès,Thomas Adès,2015-03-09,206680,25,0.165,0.843,0.0011,0.0919,0.113,-42.512,0.0508,78.232,0.0381
66,Clearing,Ruins,Grouper,2014-10-28,281680,42,0.23,0.991,0.0432,0.932,0.105,-23.066,0.042,89.582,0.136
67,Black Origami,Black Origami,Jlin,2017-05-19,270579,16,0.664,0.0017,0.886,0.539,0.07,-7.219,0.0463,117.683,0.558
68,The Unanswered Question,Charles Ives: Symphony No.2,Charles Ives,1990-01-01,367506,12,0.0626,0.11,0.00968,0.894,0.251,-36.028,0.039,61.666,0.0383
69,Sugar Baby,All Is Well,Sam Amidon,2008-02-04,324186,0,0.687,0.919,0.114,0.0478,0.109,-15.872,0.0358,119.341,0.194
70,"Britten: 4 Sea Interludes from Peter Grimes, Op. 33a: I. Dawn","Britten: Spring Symphony, Four Sea Interludes (Peter Grimes)",Benjamin Britten,1986,222933,8,0.183,0.793,0.065,0.806,0.157,-28.248,0.04,63.587,0.0387
71,An Intention,The Kid,Kaitlyn Aurelia Smith,2017-10-06,240586,7,0.284,0.214,0.366,0.183,0.105,-9.028,0.0313,131.507,0.107
72,Tenebrae: 2.,"Golijov: Oceana, Tenebrae, 3 Songs",Osvaldo Golijov,2007-01-01,406346,0,0.168,0.897,0.0533,0.801,0.131,-26.562,0.0393,87.275,0.0387
73,Mother Sky (from Deep End),Anthology (Remaster),CAN,1994,396306,0,0.456,0.00473,0.67,0.0961,0.117,-8.337,0.042,142.762,0.403
74,"Gottes Zeit ist die allerbeste Zeit, BWV 106, ""Actus tragicus"": Sonatina (arr. G. Kurtag for piano 4 hands)",Bach Without Words,Johann Sebastian Bach,2015-11-06,143946,19,0.58,0.995,0.036,0.949,0.0945,-30.749,0.0576,74.556,0.109
75,And Then It Rained,City Lake,Bing & Ruth,2015-11-13,292186,3,0.064,0.981,0.0256,0.899,0.0887,-22.433,0.0451,41.836,0.0276
76,Lento,Howard Skempton: Lento - EP,Howard Skempton,2012-04-01,778133,16,0.174,0.98,0.0204,0.857,0.3,-20.373,0.0423,70.39,0.0348
77,"Nun komm, der Heiden Heiland, BWV 659 (Arr. Busoni)",Brendel Plays Bach including The Italian Concerto & Chromatic Fantasy,Johann Sebastian Bach,1977-01-01,317840,13,0.465,0.995,0.0287,0.913,0.214,-28.931,0.0538,109.024,0.211
